PaikkaNimi;Varaustyyppi;Kohdetyyppi;PaakohdeNimi;VarauksenTila;TuoreimmanVarauksenPaatymisaikaUtc;Varaustapa;Varattavissa;HintaAlv0;HintaAlv%;Aktiivinen;KeskipisteP;KeskipisteI
Sointu019;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703832.5255979681;23459105.924561057
Sointu020;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703834.4206375889;23459108.795535557
Sointu021;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703836.3157500001;23459111.666450001
Sointu022;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703838.2108624112;23459114.537364442
Sointu023;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703840.105937589;23459117.408335559
Sointu024;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703842.0010000002;23459120.27925
Sointu025;Venepaikat;Takapaalupaikka 3.3x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703843.8960624104;23459123.150164444
Sointu026;Venepaikat;Takapaalupaikka 3.3x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703845.7911375891;23459126.021135557
Sointu027;Venepaikat;Takapaalupaikka 3.3x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703847.6862624111;23459128.892064441
Sointu028;Venepaikat;Takapaalupaikka 3.3x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703849.5813375888;23459131.763035558
Teatteri001;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703967.3946000002;23459311.93705
Teatteri002;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703969.0928153722;23459314.997451697
Teatteri003;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703970.7910846276;23459318.057848305
Teatteri004;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703972.4893000005;23459321.118250001
Teatteri005;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703974.1875153715;23459324.178651698
Teatteri006;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703975.8857500004;23459327.239050001
Teatteri007;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703977.5839846274;23459330.299448304
Teatteri008;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703979.2822000002;23459333.359850001
Teatteri009;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703980.9907653593;23459336.414501719
Teatteri010;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Kylla - julkisesti;201.6100;24.00;1;6703982.7097346401;23459339.463398281
Teatteri011;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703984.4286516747;23459342.512286358
Teatteri012;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703986.1476346403;23459345.561148282
Teatteri013;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703987.8665653598;23459348.610051718
Teatteri014;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703989.58555;23459351.658950001
Teatteri015;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703991.3045346411;23459354.707848281
Teatteri016;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703993.0234653587;23459357.75675172
Teatteri017;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703994.7424346404;23459360.805648282
Teatteri018;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703996.4613653598;23459363.854551718
Teatteri019;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703998.1827846225;23459366.907798301
Teatteri020;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703999.9066153774;23459369.965401698
Teatteri021;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6704001.6304846229;23459373.022998303
Teatteri022;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6704003.3543636398;23459376.080615375
Teatteri023;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6704005.0782153774;23459379.138251696
Teatteri024;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6704006.8020846229;23459382.195848301
Teatteri025;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6704008.5259153778;23459385.253451698
Teatteri026;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6704010.2566420054;23459388.323653903
Teatteri027;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6704011.97755;23459391.399300002
Teatteri028;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Teatteri;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6704013.6810863419;23459394.468184613
UittamoA001;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701077.7600499997;23458818.907749999
UittamoA002;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701070.1501065707;23458827.43601371
UittamoA003;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701075.1681296919;23458816.555777494
UittamoA004;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701067.5548434304;23458825.087686289
UittamoA005;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701072.5761637064;23458814.203808799
UittamoA006;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701064.9595999997;23458822.739350002
UittamoA007;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701069.9842362935;23458811.851791199
UittamoA008;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701062.3643500004;23458820.39105
UittamoA009;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701067.3922637068;23458809.499808799
UittamoA010;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701059.7691000002;23458818.0427
UittamoA011;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701064.8003500002;23458807.147799999
UittamoA012;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701057.1738499999;23458815.69435
UittamoA013;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701062.2084362926;23458804.795791201
UittamoA014;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701054.5785637097;23458813.346058831
UittamoA015;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701059.616470309;23458802.443822507
UittamoA016;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701051.9833362903;23458810.997691169
UittamoA017;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701057.0245500002;23458800.091850001
UittamoA018;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701049.3880500002;23458808.649349999
UittamoA019;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701054.4325999999;23458797.73985
UittamoA020;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701046.7927999999;23458806.30105
UittamoA021;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701051.8406433975;23458795.387886293
UittamoA022;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701044.1975565702;23458803.952713709
UittamoA023;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701049.2487362931;23458793.035891201
UittamoA024;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701041.6022934299;23458801.604386292
UittamoA025;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701046.6567637073;23458790.683908798
UittamoA026;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701039.0070500001;23458799.256050002
UittamoA027;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701044.0648499997;23458788.331900001
UittamoA028;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701036.4117999999;23458796.907749999
UittamoA029;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701041.4729362931;23458785.9798912
UittamoA030;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701033.8165500006;23458794.5594
UittamoA031;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701038.8809637064;23458783.6279088
UittamoA032;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701031.2213000003;23458792.21105
UittamoA033;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701036.2890428957;23458781.275904905
UittamoA034;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701028.6260500001;23458789.862750001
UittamoA035;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2022-03-03 07:40:35.073;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6701033.6970637068;23458778.923958801
UittamoA036;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701026.0307702804;23458787.51442254
UittamoA037;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6701031.1051500002;23458776.57195
UittamoA038;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701017.561786334;23458777.052107155
UittamoA039;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6701028.5132296914;23458774.219977494
UittamoA040;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701015.1473219143;23458779.585929181
UittamoA041;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6701025.9212637069;23458771.8680088
UittamoA042;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701012.7328417525;23458782.119763669
UittamoA043;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2022-07-26 13:27:27.287;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6701023.3293500002;23458769.515999999
UittamoA044;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701010.3183500003;23458784.6536
UittamoA045;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701020.7374;23458767.164000001
UittamoA046;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701007.9038500004;23458787.187400002
UittamoA048;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701005.4893500004;23458789.7212
UittamoA049;Venepaikat;Aisapaikka 2.7x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;290.3200;24.00;1;6700978.8556000004;23458811.197700001
UittamoA050;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701003.0748582482;23458792.255036332
UittamoA051;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6700981.2200863268;23458813.427441634
UittamoA052;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701000.6603417527;23458794.788863666
UittamoA053;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6700983.7664136728;23458815.828758366
UittamoA054;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6700998.2458863333;23458797.322707154
UittamoA055;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6700986.3127500005;23458818.23
UittamoA056;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6700995.8314136667;23458799.856492847
UittamoA057;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6700988.8591;23458820.631250001
UittamoA058;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6700993.4169500005;23458802.390300002
UittamoA059;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2022-03-01 11:38:14.700;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6700991.4054500004;23458823.03255
UittamoA060;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6700991.0024582474;23458804.924136333
UittamoA061;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6700993.9517999999;23458825.433850002
UittamoA062;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6700988.5879417518;23458807.457963668
UittamoA063;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6700996.4981500003;23458827.835099999
UittamoA064;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701001.8903000001;23458816.991350003
UittamoA065;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6700999.0444863271;23458830.236341633
UittamoA066;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701004.4151935754;23458819.415155496
UittamoA067;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2022-03-01 07:00:00.000;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6701001.5908136731;23458832.637658365
UittamoA068;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701006.9400064247;23458821.839044504
UittamoA069;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6701004.137186327;23458835.038941633
UittamoA070;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701009.4649072383;23458824.262863662
UittamoA071;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701006.6835066369;23458837.440244693
UittamoA072;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701011.9897927623;23458826.686736338
UittamoA074;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2022-06-10 04:57:05.797;0 - Julkisesti;Kylla - julkisesti;346.7800;24.00;1;6701014.5146863377;23458829.110541835
UittamoA076;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Paattynyt;2021-05-31 09:07:34.153;2 - Ei varattavissa;Ei - pois kaytosta;346.7800;24.00;1;6700999.4736129269;23458814.671409246
UittamoB001;Venepaikat;Kävelyaisa 4.2x12 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;596.7800;24.00;1;6701097.9383905083;23458786.108837672
UittamoB002;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701088.4408999998;23458795.001850002
UittamoB003;Venepaikat;Kävelyaisa 4.2x12 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;596.7800;24.00;1;6701094.7493594922;23458782.933962326
UittamoB004;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701085.9734999994;23458792.519549999
UittamoB005;Venepaikat;Kävelyaisa 4.2x12 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;596.7800;24.00;1;6701091.5602875706;23458779.759132292
UittamoB006;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701083.5060636541;23458790.03725763
UittamoB007;Venepaikat;Kävelyaisa 4.2x12 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;596.7800;24.00;1;6701088.3711916665;23458776.584241703
UittamoB008;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701081.0386499995;23458787.554949999
UittamoB009;Venepaikat;Kävelyaisa 4.2x9 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;491.9400;24.00;1;6701083.7710499996;23458774.826749999
UittamoB010;Venepaikat;Aisapaikka 3.2x8 m;Satama: Uittamo;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;346.7800;24.00;1;6701078.5712363468;23458785.072642367
